description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg | Frank Abagnale Jr. | Stan Redding | Jeff Nathanson | Leonardo DiCaprio,75.0,141,173,8.1,2002,Catch Me If You Can,1194137
"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",Hikaru Kondô | Haruo Sotozaki | Koyoharu Gotouge | Hikaru Kondô | Lucien Dodge,67.0,155,172,8.5,2025,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,47369
"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school.",Ronnie Del Carmen | Pete Docter | Pete Docter | Ronnie Del Carmen | Meg LeFauve,94.0,95,171,8.1,2015,Inside Out,888597
"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa | Ryûnosuke Akutagawa | Akira Kurosawa | Shinobu Hashimoto | Toshirô Mifune,98.0,88,170,8.1,1950,Rashomon,192839
"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue | Lilly Wachowski | Lana Wachowski | David Lloyd | Natalie Portman,62.0,132,169,8.1,2005,V for Vendetta,1229316
"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",Guy Ritchie | Guy Ritchie | Jason Flemyng | Dexter Fletcher | Nick Moran,67.0,107,168,8.1,1998,"Lock, Stock and Two Smoking Barrels",642145
"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski | Robert Towne | Roman Polanski | Jack Nicholson | Faye Dunaway,92.0,130,167,8.1,1974,Chinatown,370765
"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases, and for his unreciprocated love with his superior--both of which still haunt him decades later.",Juan José Campanella | Eduardo Sacheri | Juan José Campanella | Soledad Villamil | Ricardo Darín,80.0,129,166,8.2,2009,The Secret in Their Eyes,237440
A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Victor Fleming | Margaret Mitchell | Sidney Howard | Oliver H.P. Garrett | Thomas Mitchell,97.0,238,165,8.2,1939,Gone with the Wind,351239
"A London playboy plots the perfect murder of his rich, unfaithful wife.",Alfred Hitchcock | Frederick Knott | Ray Milland | Grace Kelly | Robert Cummings,75.0,105,164,8.2,1954,Dial M for Murder,201148
